Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
RFN,Fertilizers by Nutrient,159,China,5610,Import quantity,3102,Nutrient nitrogen N (total),1985,1985,t,2231400,X,Figure from external organization,
RFN,Fertilizers by Nutrient,159,China,5910,Export quantity,3102,Nutrient nitrogen N (total),1985,1985,t,500,X,Figure from external organization,
RFN,Fertilizers by Nutrient,159,China,5157,Agricultural Use,3102,Nutrient nitrogen N (total),1985,1985,t,13838300,X,Figure from external organization,
RFN,Fertilizers by Nutrient,159,China,5159,Use per area of cropland,3102,Nutrient nitrogen N (total),1985,1985,kg/ha,109.92,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5172,Use per capita,3102,Nutrient nitrogen N (total),1985,1985,kg/cap,12.75,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5173,Use per value of agricultural production,3102,Nutrient nitrogen N (total),1985,1985,g/Int$,50.97,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5510,Production,3102,Nutrient nitrogen N (total),1986,1986,t,11858500,A,Official figure,
RFN,Fertilizers by Nutrient,159,China,5610,Import quantity,3102,Nutrient nitrogen N (total),1986,1986,t,1761000,X,Figure from external organization,
RFN,Fertilizers by Nutrient,159,China,5910,Export quantity,3102,Nutrient nitrogen N (total),1986,1986,t,800,X,Figure from external organization,
RFN,Fertilizers by Nutrient,159,China,5157,Agricultural Use,3102,Nutrient nitrogen N (total),1986,1986,t,13576100,X,Figure from external organization,
RFN,Fertilizers by Nutrient,159,China,5159,Use per area of cropland,3102,Nutrient nitrogen N (total),1986,1986,kg/ha,106.57,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5172,Use per capita,3102,Nutrient nitrogen N (total),1986,1986,kg/cap,12.31,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5173,Use per value of agricultural production,3102,Nutrient nitrogen N (total),1986,1986,g/Int$,48.69,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5510,Production,3102,Nutrient nitrogen N (total),1987,1987,t,13684900,A,Official figure,
RFN,Fertilizers by Nutrient,159,China,5610,Import quantity,3102,Nutrient nitrogen N (total),1987,1987,t,3220791,A,Official figure,
RFN,Fertilizers by Nutrient,159,China,5910,Export quantity,3102,Nutrient nitrogen N (total),1987,1987,t,8501,A,Official figure,
RFN,Fertilizers by Nutrient,159,China,5157,Agricultural Use,3102,Nutrient nitrogen N (total),1987,1987,t,16803900,X,Figure from external organization,
RFN,Fertilizers by Nutrient,159,China,5159,Use per area of cropland,3102,Nutrient nitrogen N (total),1987,1987,kg/ha,131.18,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5172,Use per capita,3102,Nutrient nitrogen N (total),1987,1987,kg/cap,14.98,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5173,Use per value of agricultural production,3102,Nutrient nitrogen N (total),1987,1987,g/Int$,56.77,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5510,Production,3102,Nutrient nitrogen N (total),1988,1988,t,13953700,A,Official figure,
RFN,Fertilizers by Nutrient,159,China,5610,Import quantity,3102,Nutrient nitrogen N (total),1988,1988,t,4586100,A,Official figure,
RFN,Fertilizers by Nutrient,159,China,5910,Export quantity,3102,Nutrient nitrogen N (total),1988,1988,t,15500,A,Official figure,
RFN,Fertilizers by Nutrient,159,China,5157,Agricultural Use,3102,Nutrient nitrogen N (total),1988,1988,t,18514000,A,Official figure,
RFN,Fertilizers by Nutrient,159,China,5159,Use per area of cropland,3102,Nutrient nitrogen N (total),1988,1988,kg/ha,143.4,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5172,Use per capita,3102,Nutrient nitrogen N (total),1988,1988,kg/cap,16.22,E,Estimated value,
