Area,Item,Element,Year,Value
China,Sugar Crops Primary,Area harvested,1978,990022
China,Sugar Crops Primary,Yield,1978,32419.9
China,Sugar Crops Primary,Production,1978,32096391
China,Sugar Crops Primary,Area harvested,1979,947365
China,Sugar Crops Primary,Yield,1979,36197.6
China,Sugar Crops Primary,Production,1979,34292369
China,Sugar Crops Primary,Area harvested,1980,1033614
China,Sugar Crops Primary,Yield,1980,37037.6
China,Sugar Crops Primary,Production,1980,38282589
China,Sugar Crops Primary,Area harvested,1981,1093666
China,Sugar Crops Primary,Yield,1981,40907.9
China,Sugar Crops Primary,Production,1981,44739599
China,Sugar Crops Primary,Area harvested,1982,1220082
China,Sugar Crops Primary,Yield,1982,42782.7
China,Sugar Crops Primary,Production,1982,52198381
China,Sugar Crops Primary,Area harvested,1983,1292066
China,Sugar Crops Primary,Yield,1983,36999.5
China,Sugar Crops Primary,Production,1983,47805778
China,Sugar Crops Primary,Area harvested,1984,1316354
China,Sugar Crops Primary,Yield,1984,41595.2
China,Sugar Crops Primary,Production,1984,54754036
China,Sugar Crops Primary,Area harvested,1985,1612459
China,Sugar Crops Primary,Yield,1985,41942.1
China,Sugar Crops Primary,Production,1985,67629871
China,Sugar Crops Primary,Area harvested,1986,1537585
China,Sugar Crops Primary,Yield,1986,42137.1
China,Sugar Crops Primary,Production,1986,64789312
China,Sugar Crops Primary,Area harvested,1987,1422464
China,Sugar Crops Primary,Yield,1987,42849.2
China,Sugar Crops Primary,Production,1987,60951505
China,Sugar Crops Primary,Area harvested,1988,1743000
China,Sugar Crops Primary,Yield,1988,39513.9
China,Sugar Crops Primary,Production,1988,68872765
China,Sugar Crops Primary,Area harvested,1989,1598962
China,Sugar Crops Primary,Yield,1989,40581.7
China,Sugar Crops Primary,Production,1989,64888527
China,Sugar Crops Primary,Area harvested,1990,1747777
China,Sugar Crops Primary,Yield,1990,44614.1
China,Sugar Crops Primary,Production,1990,77975580
China,Sugar Crops Primary,Area harvested,1991,2010600
China,Sugar Crops Primary,Yield,1991,44257.5
China,Sugar Crops Primary,Production,1991,88984122
China,Sugar Crops Primary,Area harvested,1992,1969897
China,Sugar Crops Primary,Yield,1992,47686.4
China,Sugar Crops Primary,Production,1992,93937353
China,Sugar Crops Primary,Area harvested,1993,1751203
China,Sugar Crops Primary,Yield,1993,46279.8
China,Sugar Crops Primary,Production,1993,81045310
China,Sugar Crops Primary,Area harvested,1994,1817808
China,Sugar Crops Primary,Yield,1994,43434.7
China,Sugar Crops Primary,Production,1994,78955971
China,Sugar Crops Primary,Area harvested,1995,1880456
China,Sugar Crops Primary,Yield,1995,44810
China,Sugar Crops Primary,Production,1995,84263210
